p
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.109"",Index: ""109"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.117"",Index: ""109"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.118"",Index: ""109"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.123"",Index: ""109"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.125"",Index: ""109"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.141"",Index: ""109"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.8.185"",Index: ""110"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.113"",Index: ""110"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.8.139"",Index: ""110"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.8.75"",Index: ""110"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.22"",Index: ""110"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.94"",Index: ""110"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""174"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.101"",Index: ""110"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
